cd,our_code,name
ALA,ALA00,Aland
AFG,AFG00,Afghanistan
ALB,ALB00,Albania
DZA,DZA00,Algeria
ASM,ASM00,American Samoa
AND,AND00,Andorra
AGO,AGO00,Angola
ATA,ATA00,Antarctica
ATG,ATG00,Antigua and Barbuda
ARG,ARG00,Argentina
ARM,ARM00,Armenia
ABW,ABW00,Aruba
AUS,AUS00,Australia
AUT,AUT00,Austria
AZE,AZE00,Azerbaijan
BHS,BHS00,Bahamas
BHR,BHR00,Bahrain
BRN,BRN00,Baker Island
BGD,BGD00,Bangladesh
BRB,BRB00,Barbados
BLR,BLR00,Belarus
BEL,BEL00,Belgium
BLZ,BLZ00,Belize
BEN,BEN00,Benin
BTN,BTN00,Bhutan
BOL,BOL00,Bolivia
BES,BE00S,"Bonaire, Saint Eustatius and Saba"
BIH,BIH00,Bosnia and Herzegovina
BWA,BWA00,Botswana
BRA,BRA00,Brazil
VGB,VGB00,British Virgin Islands
BGR,BGR00,Bulgaria
BFA,BFA00,Burkina Faso
MMR,MMR00,Burma
BDI,BDI00,Burundi
KHM,KHM00,Cambodia
CMR,CMR00,Cameroon
CAN,CAN00,Canada
CPV,CPV00,Cape Verde
CYM,CYM00,Cayman Islands
CAF,CAF00,Central African Republic
TCD,TCD00,Chad
CHL,CHL00,Chile
CHN,CHN00,China
CXR,CXR00,Christmas Island
COL,COL00,Colombia
COM,COM00,Comoros
COG,COG00,Congo
COD,COD00,Congo (Democratic Republic of the)
COK,COK00,Cook Islands
CRI,CRI00,Costa Rica
HRV,HRV00,Croatia
CUB,CUB00,Cuba
CUW,CUW00,Curaçao
CYP,CYP00,Cyprus
CZE,CZE00,Czech Republic
CIV,CIV00,Côte d'Ivoire
DNK,DNK00,Denmark
DJI,DJI00,Djibouti
DMA,DMA00,Dominica
DOM,DOM00,Dominican Republic
ECU,ECU00,Ecuador
EGY,EGY00,Egypt
SLV,SLV00,El Salvador
GNQ,GNQ00,Equatorial Guinea
ERI,ERI00,Eritrea
EST,EST00,Estonia
ETH,ETH00,Ethiopia
FLK,FLK00,Falkland Islands (Islas Malvinas)
FRO,FRO00,Faroe Islands
FSM,FSM00,Federated States of Micronesia
FJI,FJI00,Fiji
FIN,FIN00,Finland
FRA,FRA00,France
GUF,GUF00,French Guiana
PYF,PYF00,French Polynesia
ATF,ATF00,French Southern and Antarctic Lands
GAB,GAB00,Gabon
GMB,GMB00,Gambia
PSE,PSE00,Gaza Strip
GEO,GEO00,Georgia
DEU,DEU00,Germany
GHA,GHA00,Ghana
GIB,GIB00,Gibraltar
GRC,GRC00,Greece
GRL,GRL00,Greenland
GRD,GRD00,Grenada
GLP,GLP00,Guadeloupe
GUM,GUM00,Guam
GTM,GTM00,Guatemala
GGY,GGY00,Guernsey
GIN,GIN00,Guinea
GNB,GNB00,Guinea-Bissau
GUY,GUY00,Guyana
HTI,HTI00,Haiti
HMD,HMD00,Heard Island and McDonald Islands
HND,HND00,Honduras
HKG,HKG00,Hong Kong
HUN,HUN00,Hungary
ISL,ISL00,Iceland
IND,IND00,India
IDN,IDN00,Indonesia
IRN,IRN00,Iran
