legal_cd,adm_cd,sido_Nm_,sgg_Nm_,dong_Nm_,dong_NmLegal_
1100000000,11,서울특별시,서울특별시,서울특별시,서울특별시
1111000000,11010,서울특별시,종로구,종로구,종로구
1111010100,1101072,서울특별시,종로구,청운효자동,청운동
1111010200,1101072,서울특별시,종로구,청운효자동,신교동
1111010300,1101072,서울특별시,종로구,청운효자동,궁정동
1111010400,1101072,서울특별시,종로구,청운효자동,효자동
1111010500,1101072,서울특별시,종로구,청운효자동,창성동
1111010800,1101072,서울특별시,종로구,청운효자동,통인동
1111010900,1101072,서울특별시,종로구,청운효자동,누상동
1111011000,1101072,서울특별시,종로구,청운효자동,누하동
1111011100,1101072,서울특별시,종로구,청운효자동,옥인동
1111011900,1101072,서울특별시,종로구,청운효자동,세종로
1111010600,1101053,서울특별시,종로구,사직동,통의동
1111010700,1101053,서울특별시,종로구,사직동,적선동
1111011200,1101053,서울특별시,종로구,사직동,체부동
1111011300,1101053,서울특별시,종로구,사직동,필운동
1111011400,1101053,서울특별시,종로구,사직동,내자동
1111011500,1101053,서울특별시,종로구,사직동,사직동
1111011600,1101053,서울특별시,종로구,사직동,도렴동
1111011700,1101053,서울특별시,종로구,사직동,당주동
1111011800,1101053,서울특별시,종로구,사직동,내수동
1111011900,1101053,서울특별시,종로구,사직동,세종로
1111012000,1101053,서울특별시,종로구,사직동,신문로1가
1111012100,1101053,서울특별시,종로구,사직동,신문로2가
1111013900,1101054,서울특별시,종로구,삼청동,팔판동
1111014000,1101054,서울특별시,종로구,삼청동,삼청동
1111014100,1101054,서울특별시,종로구,삼청동,안국동
1111014200,1101054,서울특별시,종로구,삼청동,소격동
1111014300,1101054,서울특별시,종로구,삼청동,화동
1111014400,1101054,서울특별시,종로구,삼청동,사간동
1111014500,1101054,서울특별시,종로구,삼청동,송현동
1111018400,1101055,서울특별시,종로구,부암동,부암동
1111018500,1101055,서울특별시,종로구,부암동,홍지동
1111018600,1101055,서울특별시,종로구,부암동,신영동
1111018200,1101056,서울특별시,종로구,평창동,구기동
1111018300,1101056,서울특별시,종로구,평창동,평창동
1111018700,1101057,서울특별시,종로구,무악동,무악동
1111017600,1101058,서울특별시,종로구,교남동,교남동
1111017700,1101058,서울특별시,종로구,교남동,평동
1111017800,1101058,서울특별시,종로구,교남동,송월동
1111017900,1101058,서울특별시,종로구,교남동,홍파동
1111018000,1101058,서울특별시,종로구,교남동,교북동
1111018100,1101058,서울특별시,종로구,교남동,행촌동
1111014600,1101060,서울특별시,종로구,가회동,가회동
1111014700,1101060,서울특별시,종로구,가회동,재동
1111014800,1101060,서울특별시,종로구,가회동,계동
1111014900,1101060,서울특별시,종로구,가회동,원서동
1111011900,1101061,서울특별시,종로구,종로1.2.3.4가동,세종로
1111012200,1101061,서울특별시,종로구,종로1.2.3.4가동,청진동
1111012300,1101061,서울특별시,종로구,종로1.2.3.4가동,서린동
1111012400,1101061,서울특별시,종로구,종로1.2.3.4가동,수송동
1111012500,1101061,서울특별시,종로구,종로1.2.3.4가동,중학동
1111012600,1101061,서울특별시,종로구,종로1.2.3.4가동,종로1가
1111012700,1101061,서울특별시,종로구,종로1.2.3.4가동,공평동
1111012800,1101061,서울특별시,종로구,종로1.2.3.4가동,관훈동
1111012900,1101061,서울특별시,종로구,종로1.2.3.4가동,견지동
1111013000,1101061,서울특별시,종로구,종로1.2.3.4가동,와룡동
1111013100,1101061,서울특별시,종로구,종로1.2.3.4가동,권농동
1111013200,1101061,서울특별시,종로구,종로1.2.3.4가동,운니동
1111013300,1101061,서울특별시,종로구,종로1.2.3.4가동,익선동
1111013400,1101061,서울특별시,종로구,종로1.2.3.4가동,경운동
1111013500,1101061,서울특별시,종로구,종로1.2.3.4가동,관철동
1111013600,1101061,서울특별시,종로구,종로1.2.3.4가동,인사동
1111013700,1101061,서울특별시,종로구,종로1.2.3.4가동,낙원동
1111013800,1101061,서울특별시,종로구,종로1.2.3.4가동,종로2가
1111015000,1101061,서울특별시,종로구,종로1.2.3.4가동,훈정동
1111015100,1101061,서울특별시,종로구,종로1.2.3.4가동,묘동
1111015200,1101061,서울특별시,종로구,종로1.2.3.4가동,봉익동
1111015300,1101061,서울특별시,종로구,종로1.2.3.4가동,돈의동
1111015400,1101061,서울특별시,종로구,종로1.2.3.4가동,장사동
1111015500,1101061,서울특별시,종로구,종로1.2.3.4가동,관수동
1111015600,1101061,서울특별시,종로구,종로1.2.3.4가동,종로3가
1111015700,1101061,서울특별시,종로구,종로1.2.3.4가동,인의동
1111015800,1101061,서울특별시,종로구,종로1.2.3.4가동,예지동
1111015900,1101061,서울특별시,종로구,종로1.2.3.4가동,원남동
1111016100,1101061,서울특별시,종로구,종로1.2.3.4가동,종로4가
1111016000,1101063,서울특별시,종로구,종로5.6가동,연지동
1111016200,1101063,서울특별시,종로구,종로5.6가동,효제동
1111016300,1101063,서울특별시,종로구,종로5.6가동,종로5가
1111016400,1101063,서울특별시,종로구,종로5.6가동,종로6가
1111016700,1101063,서울특별시,종로구,종로5.6가동,충신동
1111016500,1101064,서울특별시,종로구,이화동,이화동
1111016600,1101064,서울특별시,종로구,이화동,연건동
1111016800,1101064,서울특별시,종로구,이화동,동숭동
1111013000,1101073,서울특별시,종로구,혜화동,와룡동
1111016900,1101073,서울특별시,종로구,혜화동,혜화동
1111017000,1101073,서울특별시,종로구,혜화동,명륜1가
1111017100,1101073,서울특별시,종로구,혜화동,명륜2가
1111017200,1101073,서울특별시,종로구,혜화동,명륜4가
1111017300,1101073,서울특별시,종로구,혜화동,명륜3가
1111017400,1101067,서울특별시,종로구,창신1동,창신동
1111017400,1101068,서울특별시,종로구,창신2동,창신동
1111017400,1101069,서울특별시,종로구,창신3동,창신동
1111017500,1101070,서울특별시,종로구,숭인1동,숭인동
1111017500,1101071,서울특별시,종로구,숭인2동,숭인동
1114000000,11020,서울특별시,중구,중구,중구
1114011100,1102052,서울특별시,중구,소공동,소공동
1114011300,1102052,서울특별시,중구,소공동,북창동
1114011400,1102052,서울특별시,중구,소공동,태평로2가
1114011500,1102052,서울특별시,중구,소공동,남대문로2가
1114011600,1102052,서울특별시,중구,소공동,남대문로3가
1114011700,1102052,서울특별시,중구,소공동,남대문로4가
1114011900,1102052,서울특별시,중구,소공동,봉래동1가
1114016600,1102052,서울특별시,중구,소공동,서소문동
1114016700,1102052,서울특별시,중구,소공동,정동
1114016800,1102052,서울특별시,중구,소공동,순화동
1114016900,1102052,서울특별시,중구,소공동,의주로1가
1114017000,1102052,서울특별시,중구,소공동,충정로1가
1114011200,1102054,서울특별시,중구,회현동,남창동
1114011600,1102054,서울특별시,중구,회현동,남대문로3가
1114011700,1102054,서울특별시,중구,회현동,남대문로4가
1114011800,1102054,서울특별시,중구,회현동,남대문로5가
1114011900,1102054,서울특별시,중구,회현동,봉래동1가
1114012000,1102054,서울특별시,중구,회현동,봉래동2가
1114012100,1102054,서울특별시,중구,회현동,회현동1가
1114012200,1102054,서울특별시,중구,회현동,회현동2가
1114012400,1102054,서울특별시,중구,회현동,충무로1가
1114016800,1102054,서울특별시,중구,회현동,순화동
1114010100,1102055,서울특별시,중구,명동,무교동
1114010200,1102055,서울특별시,중구,명동,다동
1114010300,1102055,서울특별시,중구,명동,태평로1가
1114010400,1102055,서울특별시,중구,명동,을지로1가
1114010500,1102055,서울특별시,중구,명동,을지로2가
1114010600,1102055,서울특별시,중구,명동,남대문로1가
1114010700,1102055,서울특별시,중구,명동,삼각동
1114010800,1102055,서울특별시,중구,명동,수하동
1114010900,1102055,서울특별시,중구,명동,장교동
1114011000,1102055,서울특별시,중구,명동,수표동
1114011500,1102055,서울특별시,중구,명동,남대문로2가
1114012100,1102055,서울특별시,중구,명동,회현동1가
1114012200,1102055,서울특별시,중구,명동,회현동2가
1114012300,1102055,서울특별시,중구,명동,회현동3가
1114012400,1102055,서울특별시,중구,명동,충무로1가
1114012500,1102055,서울특별시,중구,명동,충무로2가
1114012600,1102055,서울특별시,중구,명동,명동1가
1114012700,1102055,서울특별시,중구,명동,명동2가
1114012800,1102055,서울특별시,중구,명동,남산동1가
1114012900,1102055,서울특별시,중구,명동,남산동2가
